city,district,reg_name,address,phone,email,size_tier,classrooms,classroom_m2,building_m2,n_classes,n_teachers,approved_capacity,approved_capacity_en,en_subjects,category,reg_status,licensed_on,principal,director,reg_id,reg_url
臺北市,中山區,何嘉仁文教事業股份有限公司附設臺北市私立智仁文理短期補習班,中山區民權東路2段107號4樓、7樓、6樓,25928378,hs3381@hess.com.tw,大型,39,1149.74,2825.37,203,38,12180,1740,英語,外語類,已立案,2006-01-01,秦鴻筠,李易儒,20200811181593,https://afterschools.olc.tw/afterschools/view/20200811181593
臺北市,中山區,創勝文教股份有限公司附設臺北市私立創勝文教英語短期補習班,中山區朱崙街60號2樓、2樓之1、2樓之2,27713072,ntecontact@gmail.com,小型,2,105.71,193.89,2,10,120,120,英文,外語類,已立案,2015-12-09,王梓雯,洪榆涵,20201512160007,https://afterschools.olc.tw/afterschools/view/20201512160007
臺北市,中山區,台灣拓人教育事業股份有限公司附設拓人文理短期補習班大直分班,中山區明水路581巷13弄1號1樓,2533-9636,tact.a001@msa.hinet.net,小型,2,62.82,124.0,15,32,780,156,英語,"文理類,外語類",已立案,2009-03-01,李萬吉,陳芝毓,20201703140051,https://afterschools.olc.tw/afterschools/view/20201703140051
臺北市,中山區,奇異松股份有限公司附設臺北市私立奇異鳥懷恩美語文理短期補習班,中山區松江路293之203號2樓,25185186,aes.sj5186@gmail.com,小型,2,68.73,149.83,4,15,240,240,英語,外語類,已立案,2015-08-14,奇異松股份有限公司(林秀姿),謝牧音,20201508220007,https://afterschools.olc.tw/afterschools/view/20201508220007
臺北市,中山區,安宸文教事業有限公司附設臺北市私立安宸文理短期補習班,中山區松江路186之1號2樓,(02)-2100-1585,cc186@meikoschool.com.tw,小型,1,32.88,82.8,5,8,135,27,英文,"文理類,外語類",已立案,2026-07-29,安宸文教事業有限公司(負責人：李淑宜),李巧筠,20202607290001,https://afterschools.olc.tw/afterschools/view/20202607290001
臺北市,中山區,臺北市私立偉迪文理技藝短期補習班,中山區長春路172號6樓,25060028,tia34010741@gmail.com,小型,4,69.66,113.78,28,7,560,80,美語,外語類,已立案,2003-10-01,蘇正忻,金莉軒,20200811180810,https://afterschools.olc.tw/afterschools/view/20200811180810
臺北市,中山區,臺北市私立傑聲語文短期補習班,中山區明水路397巷2弄6號1樓,25328522,ally@jasonschool.com.tw,小型,3,44.82,104.38,2,2,34,34,美語,外語類,已立案,2003-05-01,于維芝,周吟倩,20200811180644,https://afterschools.olc.tw/afterschools/view/20200811180644
臺北市,中山區,臺北市私立冠英文理短期補習班南京分班,中山區復興北路50號3樓,27196265,kenglish168@gmail.com,中型,3,148.82,232.991,3,21,180,180,英文,外語類,已立案,2013-01-31,王馨敏,王馨敏,20201703140603,https://afterschools.olc.tw/afterschools/view/20201703140603
臺北市,中山區,臺北市私立凱斯文理短期補習班,中山區南京東路3段21號3樓及4樓,02-25026622,catsnj@catsedugroup.com.tw,大型,11,199.16,442.06,66,28,3960,660,英語,外語類,已立案,2002-09-01,王永弘,朱加君,20200811180422,https://afterschools.olc.tw/afterschools/view/20200811180422
臺北市,中山區,臺北市私立凱斯文理短期補習班大直分班,中山區明水路565號(1層),25329222,alisa03220@gmail.com,中型,5,66.58,120.09,20,29,1100,220,英語,外語類,已立案,2013-04-24,王永弘,吳敏蘭,20201703140628,https://afterschools.olc.tw/afterschools/view/20201703140628
臺北市,中山區,臺北市私立喬誠語文短期補習班,中山區民權東路3段63號4樓、65號4樓,25181888,fun117kimo@yahoo.com.tw,小型,2,51.12,166.56,2,3,84,84,美語,外語類,已立案,2004-09-01,郭清蓮,郭清蓮,20200811181141,https://afterschools.olc.tw/afterschools/view/20200811181141
臺北市,中山區,臺北市私立安德信語文資訊短期補習班,中山區北安路554巷21號1樓、地下1樓,25334700,joydz4700@gmail.com,中型,7,141.28,316.3,18,3,180,30,英語,"外語類,資訊類",已立案,2000-01-01,鄧榮禎,鄧榮禎,20200811191535,https://afterschools.olc.tw/afterschools/view/20200811191535
臺北市,中山區,臺北市私立小朋友創意文理短期補習班,中山區明水路397巷7弄25號1樓,(02)28059922,Eyeleveldazhi@gmail.com,小型,3,48.77,98.5,1,1,10,10,英語,"文理類,外語類",已立案,2023-05-25,蔡嘉琪,蔡嘉琪,20202305250003,https://afterschools.olc.tw/afterschools/view/20202305250003
臺北市,中山區,臺北市私立得勝者文理短期補習班,中山區龍江路377巷22號1樓,2504-7300,,小型,3,56.68,84.16,4,3,188,141,英文,"文理類,外語類",已立案,2010-01-04,郭献哲,鍾伶俐,20201703140178,https://afterschools.olc.tw/afterschools/view/20201703140178
臺北市,中山區,臺北市私立快樂芳庭語文美術短期補習班,中山區民權東路1段58巷1號1、2、3樓,25719899,beatrice.beatricelin@gmail.com,小型,4,110.11,176.01,2,4,120,60,美語,"外語類,美術、書法、攝影、美工設計、圍棋類",已立案,2001-05-01,林碧合,陳淑茹,20200811180038,https://afterschools.olc.tw/afterschools/view/20200811180038
臺北市,中山區,臺北市私立文盛文理短期補習班,中山區復興北路430巷16號1樓,2500-7586,janelai0216@gmail.com,小型,2,37.57,100.0,14,6,434,62,英文,"文理類,外語類,音樂、舞蹈類,美術、書法、攝影、美工設計、圍棋類",已立案,2007-03-13,王成正,王成正,20200811190122,https://afterschools.olc.tw/afterschools/view/20200811190122
